Name,Type,Maximum occupancy
M4.021,Lab,5
M4.047,Lab,4
M4.015,Lab,1
M4.033A,Lab,1
M4.012,Lab,3
M4.005,Lab,1
M4.005A,Lab,1
M4.029,Lab,1
M4.029A,Lab,1
M4.057,Lab,1
M4.024C,Lab,1
M4.027A,Lab,1
M4.027,Lab,1
M4.042,Lab,1
M4.040,Lab,1
M4.033P,Lab,1
M4.007,Lab,1
M4.067,Lab,2
M4.039,Lab,1
M4.020C,Office,1
M4.020B,Office,1
M4.020A,Office,1
M4.064,Office,5
M4.033H,Office,1
M4.033K,Office,1
M4.064A,Office,1
M4.064B,Office,1
M4.026,Office,1
M4.018,Office,1
M4.017,Office,2
M4.013,Office,2
M4.033E,Office,1
M4.030B,Office,1